STATION,NAME,COUNTY,LATITUDE,LONGITUDE,ELEVATION,DATE,EMNT,EMXP,EMXT,PRCP,TAVG,TMAX,TMIN
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2004/1/1,-11.7,11.4,21.1,28.7,3.4,9.3,-2.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2004/2/1,,22.6,19.4,104.7,,9.9,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2004/3/1,-2.8,19.1,25.6,69.8,11,17.7,4.3
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2004/4/1,0.6,14.5,28.9,47.8,15.7,22.3,9.2
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2004/5/1,7.2,34.3,33.3,89.4,23,29.3,16.8
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2004/6/1,15.6,21.1,32.8,77.4,24.6,29.8,19.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2004/7/1,17.2,52.1,36.1,116.8,26.3,31.9,20.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2004/8/1,13.3,54.6,34.4,333.4,24.7,30.1,19.3
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2004/9/1,11.1,50.8,30.6,141.2,22.4,26.9,17.9
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2004/10/1,6.1,40.6,28.3,57.1,16.9,22.9,11
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2004/11/1,-1.1,38.1,27.2,111.8,11.9,17.7,6.2
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2004/12/1,-8.9,26.2,22.2,54.1,6.5,13.1,-0.1
